KIR00001 KIR2DL1*001
KIR00002 KIR2DL1*002
KIR00003 KIR2DL1*00301
KIR00004 KIR2DL1*0030201
KIR00294 KIR2DL1*0030202
KIR00005 KIR2DL1*00303
KIR00006 KIR2DL1*0040101
KIR00007 KIR2DL1*0040102
KIR00203 KIR2DL1*00402
KIR00008 KIR2DL1*005
KIR00009 KIR2DL1*006
KIR00200 KIR2DL1*007
KIR00201 KIR2DL1*008
KIR00202 KIR2DL1*009
KIR00214 KIR2DL1*010
KIR00010 KIR2DL2*001
KIR00011 KIR2DL2*002
KIR00012 KIR2DL2*003
KIR00013 KIR2DL2*004
KIR00096 KIR2DL2*005
KIR00014 KIR2DL3*001
KIR00015 KIR2DL3*002
KIR00016 KIR2DL3*003
KIR00017 KIR2DL3*004
KIR00018 KIR2DL3*005
KIR00019 KIR2DL3*006
KIR00128 KIR2DL3*007
KIR00020 KIR2DL4*00101
KIR00021 KIR2DL4*00102
KIR00112 KIR2DL4*0010301
KIR00115 KIR2DL4*0010302
KIR00119 KIR2DL4*00104
KIR00129 KIR2DL4*00105
KIR00022 KIR2DL4*00201
KIR00023 KIR2DL4*00202
KIR00208 KIR2DL4*00203
KIR00024 KIR2DL4*003
KIR00025 KIR2DL4*004
KIR00026 KIR2DL4*00501
KIR00209 KIR2DL4*00502
KIR00027 KIR2DL4*00601
KIR00130 KIR2DL4*00602
KIR00028 KIR2DL4*007
KIR00109 KIR2DL4*0080101
KIR00110 KIR2DL4*0080102
KIR00117 KIR2DL4*0080103
KIR00213 KIR2DL4*0080104
KIR00111 KIR2DL4*0080201
KIR00116 KIR2DL4*0080202
KIR00118 KIR2DL4*009
KIR00114 KIR2DL4*010
KIR00113 KIR2DL4*011
KIR00212 KIR2DL4*012
KIR00029 KIR2DL5A*0010101
KIR00300 KIR2DL5A*0010102
KIR00095 KIR2DL5A*0050101
KIR00249 KIR2DL5A*0050102
KIR00030 KIR2DL5B*0020101
KIR00248 KIR2DL5B*0020102
KIR00301 KIR2DL5B*0020103
KIR00031 KIR2DL5B*003
KIR00032 KIR2DL5B*004
KIR00125 KIR2DL5B*00601
KIR00126 KIR2DL5B*007
KIR00244 KIR2DL5B*00801
KIR00245 KIR2DL5B*009
KIR00052 KIR2DP1*00101
KIR00127 KIR2DP1*00102
KIR00053 KIR2DP1*0020101
KIR00293 KIR2DP1*0020102
KIR00242 KIR2DP1*003
KIR00033 KIR2DS1*001
KIR00034 KIR2DS1*0020101
KIR00298 KIR2DS1*0020102
KIR00296 KIR2DS1*0020103
KIR00035 KIR2DS1*00301
KIR00036 KIR2DS1*004
KIR00271 KIR2DS1*008
KIR00037 KIR2DS2*0010101
KIR00302 KIR2DS2*0010102
KIR00270 KIR2DS2*0010103
KIR00097 KIR2DS2*00102
KIR00098 KIR2DS2*00103
KIR00211 KIR2DS2*00104
KIR00038 KIR2DS2*002
KIR00039 KIR2DS2*003
KIR00040 KIR2DS2*004
KIR00041 KIR2DS2*005
KIR00042 KIR2DS3*00101
KIR00043 KIR2DS3*00102
KIR00044 KIR2DS3*00103
KIR00272 KIR2DS3*00104
KIR00131 KIR2DS3*002
KIR00232 KIR2DS3*003N
KIR00273 KIR2DS3*004
KIR00045 KIR2DS4*0010101
KIR00092 KIR2DS4*0010102
KIR00099 KIR2DS4*0010103
KIR00046 KIR2DS4*00102
KIR00274 KIR2DS4*00103
KIR00048 KIR2DS4*003
KIR00089 KIR2DS4*004
KIR00090 KIR2DS4*006
KIR00132 KIR2DS4*007
KIR00275 KIR2DS4*009
KIR00049 KIR2DS5*001
KIR00050 KIR2DS5*0020101
KIR00299 KIR2DS5*0020102
KIR00297 KIR2DS5*0020103
KIR00051 KIR2DS5*003
KIR00100 KIR2DS5*004
KIR00101 KIR2DS5*005
KIR00276 KIR2DS5*006
KIR00277 KIR2DS5*007
KIR00278 KIR2DS5*008
KIR00054 KIR3DL1*00101
KIR00055 KIR3DL1*00102
KIR00056 KIR3DL1*002
KIR00058 KIR3DL1*00401
KIR00059 KIR3DL1*00402
KIR00060 KIR3DL1*00501
KIR00160 KIR3DL1*00502
KIR00061 KIR3DL1*006
KIR00062 KIR3DL1*007
KIR00063 KIR3DL1*008
KIR00064 KIR3DL1*009
KIR00102 KIR3DL1*01501
KIR00057 KIR3DL1*01502
KIR00104 KIR3DL1*016
KIR00105 KIR3DL1*01701
KIR00233 KIR3DL1*01702
KIR00106 KIR3DL1*018
KIR00108 KIR3DL1*019
KIR00133 KIR3DL1*020
KIR00144 KIR3DL1*021
KIR00145 KIR3DL1*022
KIR00147 KIR3DL1*023
KIR00148 KIR3DL1*024N
KIR00149 KIR3DL1*025
KIR00150 KIR3DL1*026
KIR00151 KIR3DL1*027
KIR00152 KIR3DL1*028
KIR00153 KIR3DL1*029
KIR00154 KIR3DL1*030
KIR00155 KIR3DL1*031
KIR00156 KIR3DL1*032
KIR00157 KIR3DL1*033
