KIR00001 KIR2DL1*001
KIR00002 KIR2DL1*002
KIR00003 KIR2DL1*00301
KIR00004 KIR2DL1*00302
KIR00005 KIR2DL1*00303
KIR00006 KIR2DL1*0040101
KIR00007 KIR2DL1*0040102
KIR00008 KIR2DL1*005
KIR00009 KIR2DL1*006
KIR00010 KIR2DL2*001
KIR00011 KIR2DL2*002
KIR00012 KIR2DL2*003
KIR00013 KIR2DL2*004
KIR00096 KIR2DL2*005
KIR00014 KIR2DL3*001
KIR00015 KIR2DL3*002
KIR00016 KIR2DL3*003
KIR00017 KIR2DL3*004
KIR00018 KIR2DL3*005
KIR00019 KIR2DL3*006
KIR00128 KIR2DL3*007
KIR00020 KIR2DL4*00101
KIR00021 KIR2DL4*00102
KIR00112 KIR2DL4*0010301
KIR00115 KIR2DL4*0010302
KIR00119 KIR2DL4*00104
KIR00129 KIR2DL4*00105
KIR00022 KIR2DL4*00201
KIR00023 KIR2DL4*00202
KIR00024 KIR2DL4*003
KIR00025 KIR2DL4*004
KIR00026 KIR2DL4*005
KIR00027 KIR2DL4*00601
KIR00130 KIR2DL4*00602
KIR00028 KIR2DL4*007
KIR00109 KIR2DL4*0080101
KIR00110 KIR2DL4*0080102
KIR00117 KIR2DL4*0080103
KIR00111 KIR2DL4*0080201
KIR00116 KIR2DL4*0080202
KIR00118 KIR2DL4*009
KIR00114 KIR2DL4*010
KIR00113 KIR2DL4*011
KIR00029 KIR2DL5A*001
KIR00095 KIR2DL5A*005
KIR00030 KIR2DL5B*002
KIR00031 KIR2DL5B*003
KIR00032 KIR2DL5B*004
KIR00125 KIR2DL5B*006
KIR00126 KIR2DL5B*007
KIR00052 KIR2DP1*00101
KIR00127 KIR2DP1*00102
KIR00053 KIR2DP1*002
KIR00033 KIR2DS1*001
KIR00034 KIR2DS1*002
KIR00035 KIR2DS1*003
KIR00036 KIR2DS1*004
KIR00037 KIR2DS2*00101
KIR00097 KIR2DS2*00102
KIR00098 KIR2DS2*00103
KIR00038 KIR2DS2*002
KIR00039 KIR2DS2*003
KIR00040 KIR2DS2*004
KIR00041 KIR2DS2*005
KIR00042 KIR2DS3*00101
KIR00043 KIR2DS3*00102
KIR00044 KIR2DS3*00103
KIR00131 KIR2DS3*002
KIR00045 KIR2DS4*0010101
KIR00092 KIR2DS4*0010102
KIR00099 KIR2DS4*0010103
KIR00046 KIR2DS4*00102
KIR00048 KIR2DS4*003
KIR00089 KIR2DS4*004
KIR00090 KIR2DS4*006
KIR00132 KIR2DS4*007
KIR00049 KIR2DS5*001
KIR00050 KIR2DS5*002
KIR00051 KIR2DS5*003
KIR00100 KIR2DS5*004
KIR00101 KIR2DS5*005
KIR00054 KIR3DL1*00101
KIR00055 KIR3DL1*00102
KIR00056 KIR3DL1*002
KIR00058 KIR3DL1*00401
KIR00059 KIR3DL1*00402
KIR00060 KIR3DL1*00501
KIR00061 KIR3DL1*006
KIR00062 KIR3DL1*007
KIR00063 KIR3DL1*008
KIR00064 KIR3DL1*009
KIR00102 KIR3DL1*01501
KIR00057 KIR3DL1*01502
KIR00104 KIR3DL1*016
KIR00105 KIR3DL1*017
KIR00106 KIR3DL1*018
KIR00108 KIR3DL1*019
KIR00133 KIR3DL1*020
KIR00065 KIR3DL2*001
KIR00066 KIR3DL2*002
KIR00067 KIR3DL2*003
KIR00068 KIR3DL2*004
KIR00069 KIR3DL2*005
KIR00070 KIR3DL2*006
KIR00071 KIR3DL2*007
KIR00072 KIR3DL2*008
KIR00073 KIR3DL2*00901
KIR00134 KIR3DL2*00902
KIR00074 KIR3DL2*010
KIR00075 KIR3DL2*011
KIR00076 KIR3DL2*012
KIR00107 KIR3DL2*013
KIR00135 KIR3DL2*014
KIR00136 KIR3DL2*015
KIR00137 KIR3DL2*016
KIR00077 KIR3DL3*001
KIR00078 KIR3DL3*00201
KIR00079 KIR3DL3*00202
KIR00180 KIR3DL3*00203
KIR00178 KIR3DL3*00204
KIR00198 KIR3DL3*00205
KIR00080 KIR3DL3*003
KIR00081 KIR3DL3*00401
KIR00138 KIR3DL3*00402
KIR00139 KIR3DL3*005
KIR00140 KIR3DL3*00601
KIR00141 KIR3DL3*007
KIR00142 KIR3DL3*00801
KIR00143 KIR3DL3*00802
KIR00175 KIR3DL3*009
KIR00181 KIR3DL3*010
KIR00182 KIR3DL3*01101
KIR00179 KIR3DL3*012
KIR00176 KIR3DL3*01301
KIR00177 KIR3DL3*01401
KIR00087 KIR3DP1*001
KIR00093 KIR3DP1*002
KIR00088 KIR3DP1*00301
KIR00094 KIR3DP1*00302
KIR00091 KIR3DP1*004
KIR00082 KIR3DS1*010
KIR00083 KIR3DS1*011
KIR00084 KIR3DS1*012
KIR00085 KIR3DS1*01301
KIR00164 KIR3DS1*01302
KIR00086 KIR3DS1*014
